event_time,coef,se,ci_low,ci_high
-8,-0.042128018143582614,0.022408225276908413,-0.0860481396863231,0.0017921033991578766
-7,-0.031641271086714655,0.021550531662652656,-0.07388031314551385,0.010597770972084551
-6,-0.004949340826571982,0.021481919719572393,-0.04705390347693387,0.037155221823789907
-5,-0.021794312811168042,0.021972938827341446,-0.06486127291275727,0.02127264729042119
-4,-0.017098801359641286,0.022302568531021333,-0.0608118356804431,0.026614232961160528
-3,-0.029575959111869717,0.020589563845774237,-0.06993150424958722,0.010779586025847786
-2,-0.04177009637961341,0.02101220698397164,-0.08295402206819782,-0.0005861706910290018
0,0.022095041846824776,0.019336910327340397,-0.0158053023947624,0.059995386088411956
1,0.040158646559641714,0.0209119495298338,-0.0008287745188325368,0.08114606763811597
2,0.08076818817946654,0.021299847025526654,0.0390204880094343,0.12251588834949878
3,0.07900856596852442,0.02217591795020661,0.03554376678611946,0.12247336515092938
4,0.1402340772554738,0.02171839848780472,0.09766601621937654,0.18280213829157105
5,0.1356787925996034,0.021478221492519173,0.09358147847426582,0.17777610672494096
6,0.12976260778866539,0.02185362711984885,0.08692949863376165,0.17259571694356912
7,0.16536104448558572,0.022049591923573336,0.12214384431538199,0.20857824465578945
8,0.15255375989273978,0.022704604699929073,0.10805273468087881,0.19705478510460075
9,0.15935040434866843,0.023494733477387484,0.11330072673298897,0.2054000819643479
10,0.15589880369521775,0.02207601432928899,0.11262981560981133,0.19916779178062416
11,0.1645169544406602,0.022747323528928182,0.11993220032396096,0.20910170855735943
12,0.14987181811701586,0.023328150879113902,0.1041486423939526,0.1955949938400791
